county_desc,light_desc,collision_type_desc,weather_desc,harm_event_desc1,harm_event_desc2,rd_cond_desc,report_type
Prince George's,Unknown,Unknown,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Frederick,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Talbot,Daylight,Single Vehicle,Raining,Animal,Not Applicable,No Defects,Injury Crash
Baltimore City,Dark Lights On,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Calvert,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Montgomery,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Same Direction Right Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Calvert,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Same Movement Angle,Raining,Other Vehicle,Fixed Object,No Defects,Injury Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Harford,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Overturn,Spilled Cargo,No Defects,Injury Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Thrown or Falling Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Unknown,Unknown,Unknown,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Same Direction Sideswipe,Raining,Other Vehicle,Fixed Object,No Defects,Injury Crash
Prince George's,Dark Lights On,Head On Left Turn,Raining,Other Vehicle,Other Object,No Defects,Injury Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Anne Arundel,Daylight,Same Direction Rear End,Raining,Fixed Object,Other Vehicle,No Defects,Property Damage Crash
Frederick,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Washington,Unknown,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Wicomico,Daylight,Same Movement Angle,Raining,Other Vehicle,Overturn,No Defects,Fatal Crash
Anne Arundel,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Carroll,Daylight,Single Vehicle,Raining,Other,Other,No Defects,Injury Crash
Baltimore City,Daylight,Single Vehicle,Raining,Pedestrian,Pedestrian,No Defects,Injury Crash
Prince George's,Dark Lights On,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Wicomico,Daylight,Single Vehicle,Not Applicable,Off Road,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Not Applicable,Other Vehicle,Other Vehicle,Not Applicable,Property Damage Crash
Prince George's,Dark Lights On,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,"Holes, Ruts, Etc.",Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Not Applicable,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Head On Left Turn,Not Applicable,Other Vehicle,Other Vehicle,Not Applicable,Injury Crash
Prince George's,Dark Lights On,Same Direction Both Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Prince George's,Not Applicable,Head On,Not Applicable,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Daylight,Angle Meets Left Turn,Foggy,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark No Lights,Single Vehicle,Raining,Animal,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Same Direction Rear End,Not Applicable,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore City,Dark Lights On,Same Direction Sideswipe,Raining,Other Vehicle,Fixed Object,No Defects,Injury Crash
Charles,Daylight,Head On Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Other,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Dark No Lights,Single Vehicle,Not Applicable,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Single Vehicle,Raining,Fixed Object,Overturn,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Unknown,Other,Unknown,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Dark Lights On,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Head On Left Turn,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Baltimore City,Daylight,Other,Raining,Not Applicable,Parked Vehicle,Not Applicable,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Dark No Lights,Same Direction Rear End,Not Applicable,Other Vehicle,Not Applicable,Other,Property Damage Crash
Charles,Dark No Lights,Unknown,Raining,Fixed Object,Not Applicable,No Defects,Injury Crash
Baltimore,Dark Lights On,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Injury Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Not Applicable,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Other,Not Applicable,Fixed Object,Parked Vehicle,No Defects,Property Damage Crash
Worcester,Dark Lights On,Single Vehicle,Raining,Thrown or Falling Object,Not Applicable,Foreign Material,Property Damage Crash
Baltimore City,Dark Lights On,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Injury Crash
Frederick,Dark No Lights,Single Vehicle,Raining,Off Road,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Head On Left Turn,Not Applicable,Other Vehicle,Not Applicable,No Defects,Injury Crash
Anne Arundel,Daylight,Unknown,Unknown,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Cecil,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Not Applicable,Unknown,Clear,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Harford,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Thrown or Falling Object,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Head On Left Turn,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Dark Lights On,Single Vehicle,Raining,Other Vehicle,Off Road,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Cecil,Dark Lights On,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
St. Mary's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Wicomico,Daylight,Single Vehicle,Clear,Other Vehicle,Other,No Defects,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Injury Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Anne Arundel,Daylight,Head On,Raining,Parked Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Anne Arundel,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Frederick,Daylight,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Not Applicable,Parked Vehicle,No Defects,Property Damage Crash
Baltimore,Daylight,Unknown,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Howard,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Same Direction Sideswipe,Raining,Parked Vehicle,Not Applicable,No Defects,Injury Crash
Wicomico,Daylight,Single Vehicle,Cloudy,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Harford,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Same Direction Rear End,Not Applicable,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Prince George's,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Howard,Daylight,Other,Raining,Animal,Not Applicable,No Defects,Property Damage Crash
Charles,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,Not Applicable,Property Damage Crash
Anne Arundel,Dark Lights On,Unknown,Raining,Pedestrian,Other Vehicle,No Defects,Injury Crash
Baltimore,Daylight,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Anne Arundel,Dark No Lights,Other,Raining,Pedestrian,Not Applicable,Not Applicable,Property Damage Crash
Carroll,Dark No Lights,Single Vehicle,Raining,Off Road,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark No Lights,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Wicomico,Daylight,Other,Raining,Parked Vehicle,Other Object,No Defects,Injury Crash
Harford,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Worcester,Dark No Lights,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Charles,Daylight,Single Vehicle,Raining,Animal,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Same Direction Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Single Vehicle,Other,Not Applicable,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Single Vehicle,Raining,Not Applicable,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark No Lights,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Injury Crash
Anne Arundel,Daylight,Other,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Pedestrian,Other Vehicle,No Defects,Injury Crash
Cecil,Daylight,Single Vehicle,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Frederick,Daylight,Opposite Direction Sideswipe,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Baltimore,Daylight,Unknown,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Queen Anne's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Single Vehicle,Raining,Other Object,Not Applicable,No Defects,Injury Crash
Baltimore City,Dark Lights On,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Left Turn,Raining,Not Applicable,Not Applicable,No Defects,Property Damage Crash
Wicomico,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Wicomico,Daylight,Single Vehicle,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Prince George's,Dark Lights On,Not Applicable,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Right Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Opposite Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Harford,Daylight,Other,Raining,Bicycle,Fell Jumped from Motor Vehicle,No Defects,Injury Crash
Montgomery,Dark Lights On,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Not Applicable,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Other,Raining,Fixed Object,Other Vehicle,No Defects,Injury Crash
Baltimore City,Dark Lights On,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Fixed Object,Other Vehicle,No Defects,Injury Crash
Baltimore City,Daylight,Single Vehicle,Not Applicable,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Frederick,Dark Lights On,Head On,Raining,Other Vehicle,Fixed Object,No Defects,Injury Crash
Prince George's,Dark No Lights,Other,Clear,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Frederick,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Movement Angle,Not Applicable,Other Vehicle,Fixed Object,No Defects,Injury Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Right Turn,Raining,Not Applicable,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,Foreign Material,Property Damage Crash
Baltimore,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Charles,Daylight,Same Direction Right Turn,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Carroll,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Property Damage Crash
Talbot,Dark Lights On,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Property Damage Crash
Dorchester,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Property Damage Crash
Baltimore,Daylight,Opposite Direction Sideswipe,Clear,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Dark Lights On,Same Direction Left Turn,Raining,Other Vehicle,Fixed Object,No Defects,Injury Crash
Allegany,Daylight,Head On Left Turn,Raining,Other Vehicle,Fixed Object,No Defects,Injury Crash
Frederick,Dark Lights On,Single Vehicle,Raining,Not Applicable,Not Applicable,Not Applicable,Property Damage Crash
Prince George's,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Worcester,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Both Left Turn,Not Applicable,Other Vehicle,Not Applicable,Not Applicable,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Off Road,Not Applicable,No Defects,Property Damage Crash
Montgomery,Dark Lights On,Single Vehicle,Raining,Other,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Same Direction Rear End,Not Applicable,Parked Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Carroll,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Anne Arundel,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Head On,Raining,Unknown,Other Vehicle,No Defects,Property Damage Crash
Harford,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Charles,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,Shoulder Defect,Property Damage Crash
Carroll,Dark Lights On,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Howard,Daylight,Single Vehicle,Foggy,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Talbot,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Frederick,Daylight,Single Vehicle,Clear,Other Vehicle,Not Applicable,No Defects,Injury Crash
Montgomery,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Montgomery,Daylight,Same Direction Rear End,Not Applicable,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Unknown,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Opposite Direction Sideswipe,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Animal,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Other Vehicle,Other Vehicle,Not Applicable,Injury Crash
Baltimore,Dark No Lights,Other,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Calvert,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Thrown or Falling Object,Fixed Object,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Same Direction Rear End Left Turn,Raining,Parked Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Wicomico,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Howard,Daylight,Single Vehicle,Raining,Fixed Object,Off Road,No Defects,Property Damage Crash
Wicomico,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Unknown,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Worcester,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,Shoulder Defect,Injury Crash
Baltimore,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Head On,Raining,Parked Vehicle,Not Applicable,Not Applicable,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Same Movement Angle,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Dark No Lights,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Injury Crash
Frederick,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Dark Lights On,Same Direction Rear End,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End Left Turn,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Dorchester,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Frederick,Daylight,Single Vehicle,Raining,Off Road,Overturn,No Defects,Property Damage Crash
Montgomery,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Kent,Daylight,Head On,Raining,Other Vehicle,Fixed Object,No Defects,Injury Crash
Montgomery,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark No Lights,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Harford,Daylight,Same Movement Angle,Raining,Other Vehicle,Fixed Object,No Defects,Injury Crash
Anne Arundel,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Howard,Daylight,Same Movement Angle,Raining,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Garrett,Dark No Lights,Single Vehicle,Raining,Other Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Head On Left Turn,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Anne Arundel,Dark Lights On,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Right Turn,Raining,Other Vehicle,Not Applicable,Not Applicable,Injury Crash
Prince George's,Daylight,Same Direction Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Frederick,Daylight,Same Direction Rear End Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Other,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Frederick,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Baltimore,Daylight,Single Vehicle,Raining,Other Object,Not Applicable,No Defects,Injury Crash
