county_desc,light_desc,collision_type_desc,weather_desc,harm_event_desc1,harm_event_desc2,rd_cond_desc,report_type
Baltimore,Daylight,Other,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Head On,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore,Unknown,Unknown,Other,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Charles,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Parked Vehicle,No Defects,Injury Crash
Garrett,Dark Lights On,Single Vehicle,Not Applicable,Off Road,Fixed Object,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Frederick,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Injury Crash
Anne Arundel,Dark Lights On,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Unknown,Unknown,Raining,Parked Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Anne Arundel,Unknown,Single Vehicle,Not Applicable,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Off Road,No Defects,Property Damage Crash
Baltimore,Unknown,Unknown,Not Applicable,Unknown,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Off Road,Fixed Object,No Defects,Property Damage Crash
Dorchester,Unknown,Single Vehicle,Not Applicable,Other Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Worcester,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Howard,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Fixed Object,No Defects,Injury Crash
Baltimore,Other,Single Vehicle,Not Applicable,Pedestrian,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Other Pedalcycle,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Other,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Carroll,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Queen Anne's,Dark Lights On,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Unknown,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Worcester,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Carroll,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Baltimore,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Not Applicable,Other Object,Other Vehicle,No Defects,Property Damage Crash
Prince George's,Dark Lights On,Single Vehicle,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Other,Raining,Parked Vehicle,Other Vehicle,No Defects,Injury Crash
Anne Arundel,Daylight,Single Vehicle,Raining,Overturn,Not Applicable,No Defects,Injury Crash
Baltimore City,Dark Lights On,Same Direction Rear End,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Unknown,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Other Vehicle,Other Vehicle,Unknown,Property Damage Crash
Carroll,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Daylight,Unknown,Unknown,Parked Vehicle,Unknown,No Defects,Property Damage Crash
Calvert,Dark Lights On,Single Vehicle,Raining,Not Applicable,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Single Vehicle,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Baltimore City,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Montgomery,Dark Lights On,Single Vehicle,Raining,Fixed Object,Other Object,No Defects,Property Damage Crash
Anne Arundel,Dark Lights On,Single Vehicle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Unknown,Unknown,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Dark Lights On,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Same Movement Angle,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Charles,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Head On,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Washington,Daylight,Other,Raining,Other Vehicle,Fixed Object,No Defects,Property Damage Crash
Montgomery,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Harford,Daylight,Single Vehicle,Raining,Other,Not Applicable,"Holes, Ruts, Etc.",Injury Crash
Montgomery,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Not Applicable,Unknown,Not Applicable,Not Applicable,Not Applicable,No Defects,Property Damage Crash
Montgomery,Dark Lights On,Single Vehicle,Raining,Backing,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Rear End,Raining,Not Applicable,Not Applicable,No Defects,Property Damage Crash
Howard,Daylight,Single Vehicle,Not Applicable,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Calvert,Daylight,Single Vehicle,Raining,Backing,Fixed Object,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Washington,Daylight,Same Movement Angle,Raining,Fixed Object,Other Vehicle,No Defects,Property Damage Crash
Howard,Daylight,Other,Raining,Pedestrian,Parked Vehicle,No Defects,Injury Crash
Baltimore,Unknown,Unknown,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Pedestrian,Not Applicable,No Defects,Injury Crash
Prince George's,Dark Lights On,Same Direction Rear End,Not Applicable,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Cecil,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Dark Lights On,Unknown,Raining,Parked Vehicle,Parked Vehicle,No Defects,Property Damage Crash
Anne Arundel,Daylight,Same Direction Rear End,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Single Vehicle,Raining,Fixed Object,Fixed Object,No Defects,Injury Crash
Washington,Daylight,Same Movement Angle,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Wicomico,Daylight,Other,Raining,Other Vehicle,Other Vehicle,No Defects,Injury Crash
Harford,Daylight,Same Direction Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Talbot,Daylight,Same Direction Sideswipe,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Fixed Object,Parked Vehicle,No Defects,Property Damage Crash
Baltimore City,Daylight,Single Vehicle,Raining,Pedestrian,Pedestrian,No Defects,Injury Crash
Baltimore,Daylight,Opposite Direction Sideswipe,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Not Applicable,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Angle Meets Left Turn,Raining,U-turn,Other Vehicle,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Not Applicable,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Charles,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Montgomery,Dark Lights On,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Worcester,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Howard,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Talbot,Daylight,Head On,Raining,Other Vehicle,Overturn,No Defects,Injury Crash
Baltimore,Daylight,Head On,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Raining,Other Vehicle,Parked Vehicle,No Defects,Property Damage Crash
St. Mary's,Daylight,Single Vehicle,Raining,Overturn,Fixed Object,No Defects,Property Damage Crash
Anne Arundel,Daylight,Other,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Daylight,Other,Not Applicable,Parked Vehicle,Parked Vehicle,Foreign Material,Property Damage Crash
